Office,Department,Sub Department,Employment Type,Job Type,Seniority,Expected Salary,Current Salary,Education,Hire Cost,Hire Time
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
Office A,HR,Payroll,Full-Time,Permanent,Junior,50000,45000,Bachelor's,10000,30 days
Office B,IT,Development,Part-Time,Contract,Mid-Level,70000,65000,Master's,15000,45 days
Office C,Marketing,Social Media,Full-Time,Permanent,Senior,90000,85000,PhD,20000,60 days
Office D,Finance,Accounting,Part-Time,Contract,Junior,55000,50000,Diploma,12000,35 days
Office E,Admin,Operations,Full-Time,Permanent,Mid-Level,60000,57000,High School,13000,40 days
